epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.223,0,113.039,0,0.00184,0.55056,0.00548,0.001,3.49588,4.12295,4.1595,0.00036,0.00036,0.00036
2,280.079,0,82.6558,0,0.00187,0.5618,0.00441,0.00085,3.4863,3.97267,4.16,0.000725348,0.000725348,0.000725348
3,412.31,0,68.6854,0,0.00195,0.58427,0.00921,0.0017,3.48081,3.47857,4.14441,0.00107565,0.00107565,0.00107565
4,534.37,0,59.8105,0,0.00074,0.08989,0.00135,0.00015,3.67314,4.54791,4.74643,0.0014109,0.0014109,0.0014109
5,665.155,0,51.5949,0,0.00125,0.03371,0.00065,6e-05,3.16997,6.16659,6.6664,0.0017311,0.0017311,0.0017311
6,809.753,0,44.1587,0,0.00431,0.55056,0.00615,0.00131,3.47016,3.45687,4.17224,0.001802,0.001802,0.001802
7,963.416,0,37.252,0,0.00429,0.50562,0.00538,0.00116,3.53368,3.57768,4.22444,0.0017624,0.0017624,0.0017624
8,1117.96,0,31.3037,0,0.00692,0.52809,0.04087,0.00732,3.5234,3.43937,4.24805,0.0017228,0.0017228,0.0017228
9,1274.04,0,25.7675,0,0.00647,0.49438,0.0086,0.00177,3.51428,3.54762,4.19329,0.0016832,0.0016832,0.0016832
10,1491.23,0,21.1522,0,0.00733,0.53933,0.00787,0.00169,3.46766,3.60056,4.18969,0.0016436,0.0016436,0.0016436
11,1704.02,0,17.2294,0,0.00774,0.55056,0.00731,0.00169,3.45641,3.61958,4.1819,0.001604,0.001604,0.001604
12,1920.23,0,13.9648,0,0.00798,0.55056,0.00913,0.00189,3.46142,3.68199,4.17382,0.0015644,0.0015644,0.0015644
13,2116.06,0,11.2665,0,0.00727,0.29213,0.00795,0.00148,3.47727,3.7778,4.1678,0.0015248,0.0015248,0.0015248
14,2262.95,0,9.12446,0,0.00835,0.35955,0.00803,0.00181,3.49404,3.82638,4.18303,0.0014852,0.0014852,0.0014852
15,2386.92,0,7.34465,0,0,0,0,0,3.50901,4.00594,4.19759,0.0014456,0.0014456,0.0014456
16,2510.11,0,5.87855,0,0,0,0,0,3.50354,4.08491,4.19875,0.001406,0.001406,0.001406
17,2644.09,0,4.73392,0,0,0,0,0,3.50134,4.13567,4.19598,0.0013664,0.0013664,0.0013664
18,2809.98,0,3.79623,0,0,0,0,0,3.5047,4.24831,4.19907,0.0013268,0.0013268,0.0013268
19,2956.34,0,3.04553,0,0,0,0,0,3.49212,4.32905,4.20376,0.0012872,0.0012872,0.0012872
20,3111.27,0,2.45356,0,0,0,0,0,3.5067,4.41276,4.20351,0.0012476,0.0012476,0.0012476
21,3266.08,0,1.98253,0,0,0,0,0,3.49243,4.4171,4.16802,0.001208,0.001208,0.001208
22,3406.36,0,1.61143,0,0,0,0,0,3.49592,4.5837,4.16672,0.0011684,0.0011684,0.0011684
23,3542.97,0,1.30236,0,0,0,0,0,3.50159,4.66518,4.17712,0.0011288,0.0011288,0.0011288
24,3680.66,0,1.06518,0,0,0,0,0,3.49683,4.71582,4.19851,0.0010892,0.0010892,0.0010892
25,3840.39,0,0.89176,0,0,0,0,0,3.48766,4.79188,4.18781,0.0010496,0.0010496,0.0010496
26,3997.62,0,0.74422,0,0,0,0,0,3.49064,4.91429,4.18896,0.00101,0.00101,0.00101
27,4131.42,0,0.61763,0,0,0,0,0,3.48855,4.93031,4.19611,0.0009704,0.0009704,0.0009704
28,4272.63,0,0.51291,0,0,0,0,0,3.49018,5.0316,4.19628,0.0009308,0.0009308,0.0009308
29,4406.2,0,0.431,0,0,0,0,0,3.49363,5.15987,4.2091,0.0008912,0.0008912,0.0008912
30,4537.65,0,0.35433,0,0,0,0,0,3.49539,5.18174,4.214,0.0008516,0.0008516,0.0008516
31,4664.22,0,0.31135,0,0,0,0,0,3.49265,5.11396,4.21113,0.000812,0.000812,0.000812
32,4814.89,0,0.26931,0,0,0,0,0,3.48207,5.33712,4.19709,0.0007724,0.0007724,0.0007724
33,4946.39,0,0.23176,0,0,0,0,0,3.47456,5.55675,4.19641,0.0007328,0.0007328,0.0007328
34,5074.79,0,0.19158,0,0,0,0,0,3.47959,5.54127,4.1991,0.0006932,0.0006932,0.0006932
35,5211.1,0,0.16714,0,0,0,0,0,3.49465,5.59096,4.19032,0.0006536,0.0006536,0.0006536
36,5351.57,0,0.14999,0,0,0,0,0,3.49608,5.74658,4.19095,0.000614,0.000614,0.000614
37,5504.37,0,0.13917,0,0,0,0,0,3.49588,5.75335,4.19972,0.0005744,0.0005744,0.0005744
38,5640.54,0,0.12761,0,0,0,0,0,3.49498,5.85626,4.20026,0.0005348,0.0005348,0.0005348
39,5770.47,0,0.11866,0,0,0,0,0,3.49586,5.93501,4.19866,0.0004952,0.0004952,0.0004952
40,5896.11,0,0.11019,0,0,0,0,0,3.50106,5.9568,4.19748,0.0004556,0.0004556,0.0004556
41,6031.61,0,0.09619,0,0,0,0,0,3.49345,6.02621,4.19333,0.000416,0.000416,0.000416
42,6156.85,0,0.08594,0,0,0,0,0,3.49214,6.05462,4.18982,0.0003764,0.0003764,0.0003764
43,6286.21,0,0.06973,0,0,0,0,0,3.48569,6.04159,4.19814,0.0003368,0.0003368,0.0003368
44,6432.54,0,0.05563,0,0,0,0,0,3.47558,6.12826,4.19831,0.0002972,0.0002972,0.0002972
45,6570.72,0,0.04834,0,0,0,0,0,3.47773,6.10665,4.20174,0.0002576,0.0002576,0.0002576
46,6706.21,0,0.04099,0,0,0,0,0,3.47679,6.14494,4.20277,0.000218,0.000218,0.000218
47,6837.47,0,0.0387,0,0,0,0,0,3.47551,6.16775,4.19714,0.0001784,0.0001784,0.0001784
48,6966.26,0,0.03572,0,0,0,0,0,3.47674,6.17974,4.20079,0.0001388,0.0001388,0.0001388
49,7095.29,0,0.03421,0,0,0,0,0,3.48004,6.19917,4.19936,9.92e-05,9.92e-05,9.92e-05
50,7237.02,0,0.0341,0,0,0,0,0,3.48552,6.20584,4.20035,5.96e-05,5.96e-05,5.96e-05
